Factorisations Of Cunningham Numbers C-(5,n) = 5^n - 1

Canonical Representation Of Factorisations

1. Factorisations are given from smallest to largest factor, with a period '.'
   separating factors.
2. Multiplicity of factors is indicated with the carat '^' in ascii tradition
   for the text version of the tables but not the HTML version.
3. The backslash '\' is used to indicate continuation of a line, the decimal
   digit representation of the number does not stop but continues on the next
   line as if no break had occured. This can sometimes make for bad breaks, but
   such is life.

Notation Used In The Tables

1. #Fac is the number of (non distinct) prime factors in an expression.
2. A plussed #Fac means that more prime factors exist but they are unknown due
   to an unfactored composite in the expression.

========================================================================================================================

   n  #Fac  Factorisation
   1     2  2^2
   2     4  2^3.3
   3     3  2^2.31
   4     6  2^4.3.13
   5     4  2^2.11.71
   6     7  2^3.3^2.7.31
   7     3  2^2.19531
   8     8  2^5.3.13.313
   9     5  2^2.19.31.829
  10     7  2^3.3.11.71.521
  11     3  2^2.12207031
  12    10  2^4.3^2.7.13.31.601
  13     3  2^2.305175781
  14     7  2^3.3.29.449.19531
  15     7  2^2.11.31.71.181.1741
  16    11  2^6.3.13.17.313.11489
  17     4  2^2.409.466344409
  18    11  2^3.3^3.7.19.31.829.5167
  19     5  2^2.191.6271.3981071
  20    11  2^4.3.11.13.41.71.521.9161
  21     6  2^2.31.379.19531.519499
  22     8  2^3.3.23.67.5281.12207031
  23     4  2^2.8971.332207361361
  24    13  2^5.3^2.7.13.31.313.601.390001
  25     8  2^2.11.71.101.251.401.9384251
  26     7  2^3.3.5227.38923.305175781
  27     9  2^2.19.31.109.271.829.4159.31051
  28    10  2^4.3.13.29.449.19531.234750601
  29     5  2^2.59.35671.22125996444329
  30    14  2^3.3^2.7.11.31.61.71.181.521.1741.7621
  31     4  2^2.1861.625552508473588471
  32    14  2^7.3.13.17.313.2593.11489.29423041
  33     6  2^2.31.199.12207031.386478495679
  34     8  2^3.3.409.3061.41540861.466344409
  35     9  2^2.11.71.211.631.4201.19531.85280581
  36    16  2^4.3^3.7.13.19.31.37.601.829.5167.6597973
  37     5  2^2.149.13971969971.8737481256739
  38    10  2^3.3.191.761.6271.19609.213029.3981071
  39     6  2^2.31.79.305175781.608459012088799
  40    15  2^5.3.11.13.41.71.241.313.521.9161.632133361
  41     4  2^2.2238236249.5079304643216687969
  42    16  2^3.3^2.7^2.29.31.43.127.379.449.7603.19531.519499
  43     4  2^2.1644512641.172827552198815888791
  44    12  2^4.3.13.23.67.89.5281.12207031.1030330938209
  45    12  2^2.11.19.31.71.181.829.1171.1741.169831.297315901
  46     8  2^3.3.47.8971.332207361361.42272797713043
  47     3  2^2.177635683940025046467781066894531
  48    17  2^6.3^2.7.13.17.31.313.601.11489.390001.152587500001
  49     4  2^2.19531.227376585863531112677002031251
  50    13  2^3.3.11.71.101.251.401.521.1901.9384251.50150933101
  51     8  2^2.31.409.90271.317731.466344409.654652168021
  52    12  2^4.3.13^2.53.5227.38923.305175781.83181652304609
  53     5  2^2.5960555749.17154094481.27145365052629449
  54    19  2^3.3^4.7.19.31.109.163.271.487.829.4159.5167.31051.16018507
  55    10  2^2.11^2.71.103511.511831.12207031.65628751.190295821
  56    13  2^5.3.13.29.313.449.19531.234750601.59509429687890001
  57     7  2^2.31.191.6271.3981071.11735415506748076408140121
  58     9  2^3.3.59.35671.5096867.6090817323763.22125996444329
  59     4  2^2.21180247636732981.2047572230657338751575051
  60    21  2^4.3^2.7.11.13.31.41.61.71.181.521.601.1741.2281.7621.9161.69566521
  61     5  2^2.8419.918585913061.140194179307171898833699259
  62     9  2^3.3.1303.1861.21207101.28086211607.625552508473588471
  63    11  2^2.19.31.379.829.19531.280729.519499.2161279.23792163643711
  64    18  2^8.3.13.17.313.641.2593.11489.29423041.75068993.241931001601
  65     8  2^2.11.71.131.305175781.1034150930241911.20986207825565581
  66    15  2^3.3^2.7.23.31.67.199.5281.595123.12207031.190771747.386478495679
  67     7  2^2.269.1609.26399.2454335007529.604088623657497125653141
  68    14  2^4.3.13.409.1973.3061.20129.45289.41540861.466344409.12447002677
  69     9  2^2.31.139.6211.8971.332207361361.598761682261.8868050880709
  70    16  2^3.3.11.29.71.211.449.521.631.4201.19531.15216601.85280581.4698932281
  71     4  2^2.569.18607929421228039083223253529869111644362732899
  72    22  2^5.3^3.7.13.19.31.37.73.313.601.829.5167.390001.543097.6597973.1503418321
  73     5  2^2.4853479.5729041.9519524151770349914726200576714027279
  74    10  2^3.3.149.9103.29010221.13971969971.8737481256739.45920153384867
  75    16  2^2.11.31.71.101.151.181.251.401.1741.3301.1989151.9384251.49892851.183794551
  76    14  2^4.3.13.191.761.6271.19609.213029.3981071.4885168129.2864226125209369
  77     7  2^2.19531.12207031.527093491.8090594434231.162715052426691233701
  78    14  2^3.3^2.7.31.79.3121.5227.38923.305175781.22735632934561.608459012088799
  79     5  2^2.205367807127911.58523123221688392679.344120456368919234899
  80    20  2^6.3.11.13.17.41.71.241.313.521.9161.11489.25601.632133361.909456847814334401
  81    11  2^2.19.31.109.271.829.4159.4861.31051.11419697846380955982026777206637491
  82    10  2^3.3.83.43543.221401.2238236249.9472026608675509.5079304643216687969
